messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.\nSantali:'}]	ᱥᱟᱸᱥᱠᱨᱤᱛ ᱡᱮᱞᱮᱠᱟ ᱟᱥᱛᱤᱛᱣ ᱨᱮ ᱦᱮᱡ ᱮᱱᱟ ᱟᱨ ᱱᱚᱶᱟ ᱨᱮᱱᱟᱜ ᱟᱭᱢᱟ ᱥᱤᱫᱷᱟᱸᱛ ᱢᱮᱱᱟᱜᱼᱟ᱾ ᱚᱱᱟ ᱠᱦᱚᱱᱭ ᱢᱤᱫ ᱯᱟᱪᱮ ᱠᱷᱚᱱ ᱥᱤᱧᱚᱛ ᱨᱮ ᱟᱨᱭᱡᱚ ᱠᱚ ᱦᱮᱡ ᱮᱱ ᱨᱮᱱᱟᱜ ᱵᱟᱵᱚᱫ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱱᱟ ᱯᱟᱹᱨᱥᱤ ᱛᱮ ᱚᱞ ᱟᱹᱜᱩ ᱢᱮᱱᱟᱜᱼᱟ᱾	Sanskrit bhasa kana aam do aadivasi aakarne te aam Sanskrit bhasa kana koham kore. Aam do aadivasi aakarne te aam Sanskrit bhasa kana koham kore.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language.\nSantali:'}]	ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱡᱟᱹᱨᱢᱟᱹᱱ ᱥᱟᱹᱫᱷᱩ ᱠᱚ ᱤᱥᱣᱟᱹᱨ ᱠᱚ ᱫᱚ ᱢᱩᱞ ᱦᱚᱲ ᱥᱩᱨ ᱛᱮ ᱟᱹᱜᱩ ᱥᱮᱱᱟ ᱠᱚ ᱠᱟᱱ ᱛᱟᱦᱮᱸᱡ, ᱚᱱᱟᱛᱮ ᱩᱱᱠᱩ ᱮᱥᱴᱚᱱᱤᱭᱟᱹᱭ ᱟᱹᱲᱟᱹ ᱯᱟᱹᱨᱥᱤ ᱠᱚ ᱵᱮᱱᱟᱣ ᱠᱮᱜᱼᱟ᱾	Koyel German monk'ra jom jomok' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo' aamdo
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The pilot was identified as Squadron Leader Dilokrit Pattavee.\nSantali:'}]	ᱯᱟᱭᱞᱚᱴ ᱫᱚ ᱥᱠᱣᱟᱰᱨᱚᱱ ᱟᱹᱜᱩᱣᱟᱹᱱ ᱰᱤᱞᱚᱠᱨᱤᱴ ᱯᱚᱴᱴᱟᱵᱷᱤ ᱢᱮᱱᱛᱮᱭᱮ ᱪᱤᱱᱦᱟᱹᱯ ᱟᱠᱟᱱᱟ᱾	Squadron Leader Dilokrit Pattavee rekoj koel.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.\nSantali:'}]	ᱥᱚᱨᱡᱤᱭᱟᱱ ᱠᱚ ᱟᱯᱷᱤᱢ ᱨᱮᱱᱟᱜ ᱟᱨᱠᱟ ᱠᱷᱚᱱ ᱢᱟᱨᱯᱷᱤᱱ ᱟᱨ ᱨᱮᱦᱮᱫᱼᱥᱮᱸᱫᱮᱫ ᱨᱮᱱᱟᱜ ᱫᱟᱱᱟ ᱠᱷᱚᱱ ᱥᱠᱳᱯᱳᱞᱟᱢᱟᱭᱤᱱ ᱥᱟᱦᱤᱛ ᱟᱭᱢᱟ ᱥᱟᱢᱟᱱ ᱨᱮᱱᱟᱜ ᱜᱮᱭᱟᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾	Surgeons hām̐ār jānām̐ karaṇ ṭāṇḍul jīvākāṇṭaṇ kā ākāra mōrfīna ārū scōpōlāmīna herbane jīvākāṇṭaṇ kā.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The sport is primarily played in a duel format, one fencer dueling another.\nSantali:'}]	ᱱᱚᱶᱟ ᱠᱷᱮᱞ ᱫᱚ ᱯᱩᱭᱞᱩ ᱵᱟᱨᱭᱟ ᱯᱷᱚᱨᱢᱟᱴ ᱨᱮᱠᱟ ᱠᱷᱮᱞ ᱠᱟᱱ ᱛᱟᱦᱮᱸᱫ, ᱢᱤᱫ ᱯᱷᱮᱱᱥᱚᱨ ᱫᱚᱥᱟᱨᱟᱜ-ᱮ ᱰᱩᱣᱟᱞᱮᱫ ᱛᱟᱦᱮᱸᱫ᱾	Hapam juddo formatre khelam, juddo kora fencer juddo kora.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Local media reports an airport fire vehicle rolled over while responding.\nSantali:'}]	ᱞᱚᱠᱟᱞ ᱢᱤᱰᱤᱭᱟ ᱞᱟᱹᱭ ᱟᱠᱟᱫᱟ ᱡᱮ ᱮᱭᱟᱨᱯᱚᱴ ᱨᱮ ᱥᱮᱝᱜᱮᱞ ᱤᱬᱤᱡ ᱜᱟᱹᱰᱤ ᱨᱮᱥᱯᱚᱸᱰ ᱦᱟᱛᱟᱣ ᱟᱠᱟᱫᱟᱭ᱾	Desi media airport fire vehicle respond kana rollover kore report kore.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Animals are made of many cells. They eat things and digest them inside. Most animals can move.\nSantali:'}]	ᱡᱟᱱᱣᱟ ᱠᱚᱫᱚ ᱟᱭᱢᱟ ᱥᱮᱠ ᱠᱚᱛᱮᱠᱚ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟ᱾ ᱩᱱᱠᱩ ᱠᱚ ᱡᱚᱢ-ᱟ ᱟᱨ ᱦᱚᱲᱢᱚ ᱵᱷᱤᱛᱨᱤ ᱨᱮᱠᱚ ᱦᱟᱡᱟᱣᱟ᱾ ᱟᱹᱵᱤᱜᱟᱱ ᱡᱟᱱᱣᱟ ᱫᱚᱠᱚ ᱫᱟᱬᱟ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ᱾	Animals hãrãṃ bãṛa hãṛã. Hãṛã hãṛãṇa aaṃ bãṛa hãṛãṇ. Hãṛãṇ hãṛãṇ aaṃ bãṛa hãṛãṇ.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.\nSantali:'}]	᱑᱙᱗᱗ ᱨᱮ, ᱰᱨ. ᱫᱟᱢᱟᱫᱤᱭᱟᱹᱱ ᱫᱚ ᱯᱩᱭᱞᱩ “ᱡᱷᱚᱛᱚᱼᱦᱚᱲᱢᱚ” ᱮᱢᱹᱟᱨᱹᱟᱭᱹ ᱥᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱛᱮᱭᱟᱨ ᱯᱩᱨᱟᱹᱣ ᱠᱮᱜᱼᱟᱭ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱩᱱᱤ ”ᱟᱹᱫᱢᱟᱹᱭ” ᱢᱮᱱ ᱠᱮᱜᱼᱟᱭ᱾	"1977 re Dr. Damadian ""whole-body"" MRI scanner rupi ""Indomitable"" karap kore."
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: 28-year-old Vidal had joined Barça three seasons ago, from Sevilla.\nSantali:'}]	᱒᱘ ᱥᱮᱨᱢᱟ ᱨᱤᱱ ᱣᱤᱰᱟᱞ ᱯᱮ ᱥᱤᱡᱟᱱ ᱢᱟᱲᱟᱝ ᱥᱮᱣᱤᱞᱟ ᱠᱷᱚᱱ ᱵᱟᱨᱥᱟ ᱨᱮ ᱢᱮᱥᱟ ᱞᱮᱱ ᱛᱟᱦᱮᱱᱟᱭ᱾	28-sal-er Vidal Sevilla-r Barça-ge aam-ko, tene season-ge.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: These requirements are designed to provide an organized migratory flow between both countries.\nSantali:'}]	ᱱᱚᱶᱟ ᱫᱟᱨᱠᱟᱨ ᱫᱚ ᱵᱟᱨᱭᱟ ᱫᱤᱥᱚᱢ ᱠᱚ ᱛᱟᱞᱟ ᱨᱮ ᱢᱤᱫᱴᱟᱹᱝ ᱥᱚᱝᱜᱚᱴᱷᱤᱛ ᱯᱨᱚᱣᱟᱦᱤ ᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱰᱤᱡᱟᱭᱤᱱ ᱠᱚᱨᱟᱣ ᱦᱩᱭ ᱠᱟᱱᱟ᱾	Ei jhargi serey aam do desh rey bahaar aam jaher aakat rahe.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed.\nSantali:'}]	ᱚᱱᱟ ᱞᱮᱠᱟᱛᱮ, ᱱᱚᱝᱠᱟ ᱜᱮ ᱯᱨᱚᱛᱤᱥᱴᱷᱟᱱ ᱨᱮ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱥᱟᱱᱫᱟᱨ ᱵᱤᱥᱛᱟᱨ, ᱚᱱᱠᱟ ᱛᱮ ᱛᱤ ᱛᱮ ᱵᱮᱱᱟᱣᱟᱜ ᱨᱟᱡᱟᱭᱤ ᱥᱮ ᱢᱤᱫ ᱥᱮᱫᱟᱭᱟᱜ ᱵᱤᱥᱛᱟᱨ ᱛᱚᱞᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱢᱮᱱᱟᱜᱼᱟ᱾	Sohorom, jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaherem jaher
