	BLEU	spBLEU200	chrF2++	TER	SLR
lij_Latn	6.99	7.56	32.8	91.76	1.239
lim_Latn	14.42	14.72	40.15	77.83	1.089
lin_Latn	2.22	2.59	14.78	95.28	0.51
lit_Latn	30.2	30.04	51.54	66.43	1.01
lmo_Latn	6.01	6.13	29.4	105.3	1.324
ltg_Latn	5.17	5.34	29.23	90.97	1.287
ltz_Latn	27.75	25.39	48.74	68.67	1.053
lua_Latn	0.74	0.97	8.08	101.54	0.41
lug_Latn	1.22	1.64	11.63	98.92	0.442
luo_Latn	0.63	0.75	7.05	103.36	0.38
lus_Latn	3.65	4.59	17.61	98.84	0.552
lvs_Latn	33.64	32.99	55.13	63.11	1.04
mag_Deva	19.08	18.56	39.08	76.51	1.167
mai_Deva	10.39	10.23	28.94	99.76	1.306
mal_Mlym	14.52	14.59	32.26	98.86	1.062
mar_Deva	15.71	14.53	34.33	89.58	1.005
min_Arab	1.63	1.56	10.06	110.39	0.973
min_Latn	10.73	11.51	36.99	82.22	1.235
mkd_Cyrl	35.7	36.05	57.03	54.93	1.033
mlt_Latn	36.19	29.88	49.39	66.39	1.008
mni_Beng	1.56	1.8	11.43	107.01	1.8
mos_Latn	0.09	0.17	3.92	100.43	0.246
mri_Latn	17.98	15.06	34.82	75.74	0.844
mya_Mymr	2.76	2.1	19.81	165.17	1.197
nld_Latn	34.93	36.27	56.54	61.2	1.003
nno_Latn	36.52	37.13	58.71	53.32	1.049
nob_Latn	39.47	40.18	60.5	52.59	1.022
npi_Deva	20.04	18.98	39.53	82.1	1.015
nso_Latn	3.24	3.69	16.7	92.99	0.554
nus_Latn	0.13	0.14	3.02	102.07	0.322
nya_Latn	4.85	4.88	20.55	94.04	0.665
oci_Latn	30.89	30.36	55.08	56.37	1.093
ory_Orya	14.9	12.14	28.71	101.68	1.055
pag_Latn	5.37	5.71	22.61	91.15	0.654
pan_Guru	23.9	20.97	37.43	78.65	1.057
pap_Latn	26.52	25.42	51.62	57.09	1.094
pbt_Arab	4.87	5.09	19.7	95.05	0.926
pes_Arab	28.84	29.44	48.58	63.49	1.03
plt_Latn	8.68	8.2	31.43	87.9	0.938
pol_Latn	29.35	32.08	49.72	69.14	1.022
por_Latn	55.45	56.42	71.4	35.77	1.012
prs_Arab	25.19	25.74	44.82	68.03	1.021
quy_Latn	0.49	0.69	9.32	110.54	0.345
ron_Latn	44.44	46.25	63.99	48.12	1.04
run_Latn	3.06	3.06	16.55	103.55	0.648
rus_Cyrl	35.76	38.85	56.59	60.51	1.045
sag_Latn	0.11	0.11	4.59	100.81	0.244
san_Deva	6.23	4.72	21.83	109.44	1.089
sat_Olck	0.02	0.04	0.3	104.98	0.316
scn_Latn	11.5	11.21	35.94	80.14	1.109
shn_Mymr	0.35	0.52	7.57	200.61	2.212
sin_Sinh	5.16	6.14	19.53	118.97	1.147
slk_Latn	38.18	38.62	56.82	58.62	1.027
slv_Latn	31.95	32.28	54.67	70.97	1.113
smo_Latn	7.0	6.43	22.78	86.33	0.641
sna_Latn	3.06	3.41	15.38	109.43	0.639
snd_Arab	10.44	9.18	22.29	102.4	0.93
som_Latn	7.1	7.29	29.1	99.11	1.1
sot_Latn	4.88	5.96	20.65	100.26	0.808
spa_Latn	33.18	33.76	56.55	59.47	1.068
srd_Latn	15.25	14.68	41.49	82.03	1.198
srp_Cyrl	1.32	1.36	3.26	115.62	1.272
ssw_Latn	1.31	1.9	10.63	100.23	0.441
sun_Latn	12.73	12.91	38.57	86.51	1.148
swe_Latn	48.72	50.33	67.94	43.34	1.047
swh_Latn	38.99	37.98	60.13	50.22	1.026
szl_Latn	8.83	11.38	34.94	93.39	1.424
tam_Taml	12.94	13.2	34.67	95.19	1.077
taq_Latn	0.7	0.82	8.18	101.9	0.443
taq_Tfng	1.53	0.62	5.23	105.62	0.921
tat_Cyrl	9.2	6.49	20.87	115.85	0.974
tel_Telu	17.87	16.99	34.82	92.05	1.062
tgk_Cyrl	14.48	10.79	29.3	91.25	0.956
tgl_Latn	36.53	35.02	60.82	50.61	1.081
tha_Thai	20.82	30.24	42.48	114.67	1.209
tir_Ethi	1.83	1.65	5.82	113.85	1.038
tpi_Latn	16.96	13.99	37.07	88.4	1.019
tsn_Latn	3.45	4.0	16.68	100.09	0.637
tso_Latn	2.77	2.92	15.0	100.61	0.595
tuk_Latn	8.03	5.77	24.79	108.3	1.203
tum_Latn	2.67	3.6	16.47	108.03	0.795
tur_Latn	36.82	37.93	57.74	62.76	1.056
twi_Latn	2.48	2.97	13.38	98.71	0.502
tzm_Tfng	1.02	0.54	3.25	107.22	0.631
uig_Arab	14.79	6.49	20.53	104.47	0.976
ukr_Cyrl	36.07	37.37	55.03	60.71	1.023
umb_Latn	0.37	0.36	5.31	99.78	0.366
urd_Arab	20.27	20.65	41.47	79.93	1.123
uzn_Latn	18.65	15.8	39.15	95.74	1.132
vec_Latn	15.17	15.68	40.98	70.66	1.053
vie_Latn	36.48	36.8	57.66	56.98	1.121
war_Latn	22.74	21.81	48.42	72.08	1.103
wol_Latn	1.47	2.15	10.57	108.21	0.493
xho_Latn	5.59	5.5	21.64	104.8	0.855
ydd_Hebr	16.36	9.32	27.93	84.07	0.874
yor_Latn	2.79	2.51	11.41	99.02	0.794
yue_Hant	23.37	26.35	22.3	144.68	1.011
zho_Hans	32.4	36.33	31.03	193.46	1.09
zho_Hant	22.74	25.96	24.35	175.58	1.189
zsm_Latn	37.51	37.83	63.72	52.99	1.106
zul_Latn	7.23	6.66	24.38	106.44	0.955
